family	species	ranged	occurrences	youngest_ma	oldest_ma
Agnostidae	74	59	448	471.3	538.8
Asaphidae	271	208	2169	443.1	504.5
Balognathidae	54	32	434	237	488.9
Bellerophontidae	359	178	1567	233.6	471.3
Borhyaenidae	17	10	60	8	56
Ceratitidae	331	231	1935	227.3	249.9
Desmoceratidae	216	159	1393	66	143.1
Endoceratidae	47	18	126	443.1	483.4
Entoliidae	77	52	1200	61.66	358.86
Eoderoceratidae	76	56	601	174.7	199.5
Euphemitidae	89	65	589	248.1	410.62
Glyptomenidae	42	28	160	438.6	477.1
Gondolellidae	112	93	1684	201.4	382.31
Hildoceratidae	263	216	2875	152.21	201.4
Ingelarellidae	104	79	892	251.902	358.86
Inoceramidae	216	160	2342	66	227.3
Kossmaticeratidae	72	45	440	66	119.57
Lophospiridae	164	102	1147	154.8	486.85
Meekospiridae	56	31	188	251.902	432.9
Nerineidae	20	11	62	66	192.9
Oppeliidae	255	179	1068	100.5	174.7
Perisphinctidae	336	214	1053	100.5	174.7
Phillipsiidae	449	217	1290	251.902	382.31
Podocarpaceae	193	91	1467	0.0117	298.9
Polytoechiidae	39	28	204	449.5	488.9
Pontocyprididae	15	10	142	15.98	303.7
Productidae	204	142	2223	251.902	372.15
Proptychitidae	95	56	467	244.24	251.902
Rhynchonellidae	319	203	2307	66	443.1
Sciaridae	150	35	227	0	100.5
Tetrarhynchiidae	243	188	2159	66	246.7
Trigonotretidae	203	145	1952	251.902	372.15
