family	species	ranged	occurrences	youngest_ma	oldest_ma
Porambonitidae	11	10	68	449.5	475.6
Temertassetiidae	12	11	87	346.7	358.86
Scrobiculidae	13	10	100	250.5	387.95
Cainotheriidae	13	10	44	7.246	41.03
Koenenitidae	13	10	50	375.2	387.95
Diodontidae	14	11	35	0.774	59.24
Biceratopsidae	14	11	57	506.5	538.8
Kloedenellidae	15	11	52	250.5	387.95
Pontocyprididae	15	10	142	15.98	303.7
Spondylospiridae	16	12	183	201.4	237
Ailuridae	16	11	32	1.4	27.3
Brachythyrididae	16	12	74	251.902	358.86
Helohyidae	16	10	62	33.9	56
Chlorococcaceae	16	10	173	61.66	2050
Schizogoniidae	16	11	53	227.3	246.7
Araksalosiidae	16	12	93	323.4	387.95
Alsataspididae	16	10	67	457.3	506.5
Cheirolepidiaceae	17	12	277	61.66	241.464
Borhyaenidae	17	10	60	8	56
Polycopidae	19	11	166	170.9	315.2
Achistridae	20	11	115	100.5	410.62
Sturiidae	20	13	130	227.3	248.1
Nerineidae	20	11	62	66	192.9
Nikiforovellidae	21	11	60	205.7	368.5
Laternulidae	21	12	102	15.98	246.7
Batocrinidae	21	16	170	335.4	419.62
Polycidaridae	23	18	116	143.1	237
Cribrospongiidae	24	13	109	33.9	244.24
Eopteriidae	24	10	109	448.8	488.3
Neoglyphioceratidae	26	19	146	318.7	346.7
Coelolepidae	26	14	207	379	457.3
Meristellidae	26	23	399	382.31	452.8
Labeceratidae	27	21	71	100.5	113.2
Arctoceratidae	32	24	336	244.24	250.5
Follicucullidae	33	22	371	249.9	298.9
Spyroceratidae	34	27	202	251.902	471.3
Pharciceratidae	35	20	79	382.31	387.95
Permosialidae	35	10	63	174.7	298.9
Parasuchidae	39	19	138	201.4	237
Polytoechiidae	39	28	204	449.5	488.9
Pleuronodoceratidae	40	24	114	251.902	254.14
Glyptomenidae	42	28	160	438.6	477.1
Cladiscitidae	43	28	268	201.4	248.1
Aulacostephanidae	43	33	185	143.1	161.5
Aeschnidiidae	45	15	87	66	152.21
Schizaeaceae	45	28	413	5.333	358.86
Douvilleiceratidae	46	22	283	89.8	143.1
Endoceratidae	47	18	126	443.1	483.4
Xiphostylidae	48	43	656	72.2	254.14
Rhomboporidae	50	20	246	251.902	452.8
Crioceratitidae	50	26	244	100.5	137.05
Balognathidae	54	32	434	237	488.9
Meekospiridae	56	31	188	251.902	432.9
Liberiblattinidae	60	24	140	72.2	184.2
Blattinopsidae	64	11	78	266.9	316.9
Craticulariidae	67	41	246	15.98	375.2
Kossmaticeratidae	72	45	440	66	119.57
Agnostidae	74	59	448	471.3	538.8
Eoderoceratidae	76	56	601	174.7	199.5
Entoliidae	77	52	1200	61.66	358.86
Capnuchosphaeridae	80	50	605	201.4	248.1
Streptelasmatidae	81	61	498	365.2	488.9
Dorypygidae	85	40	208	497	538.8
Orthidae	86	64	579	335.9	488.9
Enteletidae	86	63	669	251.902	358.86
Euphemitidae	89	65	589	248.1	410.62
Bittacidae	89	16	116	23.04	239.48
Sellithyrididae	91	52	379	56	165.3
Proptychitidae	95	56	467	244.24	251.902
Ingelarellidae	104	79	892	251.902	358.86
Tetragonitidae	112	77	803	66	125.77
Gondolellidae	112	93	1684	201.4	382.31
Mosasauridae	112	55	385	61.66	143.1
Ommatidae	115	26	162	33.9	241.464
Phoridae	117	18	141	0	125.77
Arcestidae	120	66	386	201.4	259.51
Mylacridae	134	20	177	205.7	323.4
Mesoblattinidae	135	22	210	56	309.8
Sciaridae	150	35	227	0	100.5
Loxonematidae	154	58	387	201.4	459.7
Lophospiridae	164	102	1147	154.8	486.85
Naticopsidae	165	93	532	205.7	443.1
Murchisoniidae	168	74	408	125.77	458.2
Lichidae	168	96	561	382.31	486.85
Permochoristidae	181	45	320	165.3	290.1
Podocarpaceae	193	91	1467	0.0117	298.9
Phyloblattidae	196	43	414	184.2	323.4
Trigonotretidae	203	145	1952	251.902	372.15
Productidae	204	142	2223	251.902	372.15
Desmoceratidae	216	159	1393	66	143.1
Inoceramidae	216	160	2342	66	227.3
Tetrarhynchiidae	243	188	2159	66	246.7
Oppeliidae	255	179	1068	100.5	174.7
Hildoceratidae	263	216	2875	152.21	201.4
Asaphidae	271	208	2169	443.1	504.5
Rhynchonellidae	319	203	2307	66	443.1
Ceratitidae	331	231	1935	227.3	249.9
Perisphinctidae	336	214	1053	100.5	174.7
Bellerophontidae	359	178	1567	233.6	471.3
Phillipsiidae	449	217	1290	251.902	382.31
